iter	Passed	Remaining
828	6295	1298
829	6298	1290
830	6302	1281
831	6305	1273
832	6308	1264
833	6312	1256
834	6315	1247
835	6318	1239
836	6321	1231
837	6325	1222
838	6328	1214
839	6336	1206
840	6342	1199
841	6345	1190
842	6349	1182
843	6354	1174
844	6359	1166
845	6365	1158
846	6368	1150
847	6376	1142
848	6382	1135
849	6392	1128
850	6401	1120
851	6408	1113
852	6418	1106
853	6428	1099
854	6436	1091
855	6446	1084
856	6455	1077
857	6465	1070
858	6473	1062
859	6477	1054
860	6485	1046
861	6490	1039
862	6503	1032
863	6514	1025
864	6517	1017
865	6528	1010
866	6539	1003
867	6548	995
868	6551	987
869	6555	979
870	6558	971
871	6562	963
872	6565	955
873	6568	947
874	6572	938
875	6575	930
876	6581	923
877	6585	915
878	6595	907
879	6599	899
880	6604	892
881	6608	884
882	6611	876
883	6616	868
884	6620	860
885	6623	852
886	6630	844
887	6637	837
888	6647	829
889	6655	822
890	6662	815
891	6672	807
892	6680	800
893	6687	792
894	6696	785
895	6706	778
896	6715	771
897	6731	764
898	6739	757
899	6746	749
900	6751	741
901	6757	734
902	6775	727
903	6795	721
904	6805	714
905	6823	707
906	6833	700
907	6841	693
908	6848	685
909	6851	677
910	6855	669
911	6860	661
912	6863	654
913	6869	646
914	6873	638
915	6883	631
916	6887	623
917	6890	615
918	6894	607
919	6898	599
920	6901	591
921	6907	584
922	6916	577
923	6929	569
924	6938	562
925	6946	555
926	6952	547
927	6965	540
928	6973	532
929	6985	525
930	6996	518
931	7012	511
932	7024	504
933	7031	496
934	7041	489
935	7048	481
936	7059	474
937	7070	467
938	7074	459
939	7083	452
940	7086	444
941	7095	436
942	7105	429
943	7108	421
944	7112	413
945	7116	406
946	7119	398
947	7123	390
948	7127	383
949	7130	375
950	7134	367
951	7137	359
952	7141	352
953	7144	344
954	7148	336
955	7152	329
956	7155	321
957	7160	313
958	7165	306
959	7171	298
960	7179	291
961	7185	283
962	7193	276
963	7207	269
964	7218	261
965	7231	254
966	7241	247
967	7250	239
968	7261	232
969	7280	225
970	7290	217
971	7303	210
972	7315	203
973	7319	195
974	7326	187
975	7331	180
976	7339	172
977	7343	165
978	7347	157
979	7350	150
980	7353	142
981	7356	134
982	7359	127
983	7363	119
984	7366	112
985	7369	104
986	7372	97
987	7375	89
988	7379	82
989	7382	74
990	7386	67
991	7389	59
992	7394	52
993	7407	44
994	7417	37
995	7437	29
996	7441	22
997	7454	14
998	7462	7
999	7472	0
